New Variant of Ursnif Continuously Targeting Italy, 2021-01-12, Xiaopeng Zhang, FortiGuard Labs, https://www.fortinet.com/blog/threat-research/new-variant-of-ursnif-continuously-targeting-italy, 1_new-variant-of-ursnif-continuously-targeting-italy.txt
What We Have Learned So Far about the “Sunburst”/SolarWinds Hack, 2020-12-21, Udi Yavo, FortiGuard Labs, https://www.fortinet.com/blog/threat-research/what-we-have-learned-so-far-about-the-sunburst-solarwinds-hack, 2_what-we-have-learned-so-far-about-the-sunburst-solarwinds-hack.txt
Adversary Playbook: JavaScript RAT Looking for that Government Cheese, 2020-12-16, Fred Gutierrez and Val Saengphaibul, Cybersecurity Architect|FortiGuards Labs, https://www.fortinet.com/blog/threat-research/adversary-playbook-javascript-rat-looking-for-that-government-cheese, 3_adversary-playbook-javascript-rat-looking-for-that-government-cheese.txt
Leaking Browser URL/Protocol Handlers, 2020-12-03, Rotem Kerner, FortiGuard Labs|AI-Driven Security Operations|Cybersecurity Architect, https://www.fortinet.com/blog/threat-research/leaking-browser-url-protocol-handlers, 4_leaking-browser-url-protocol-handlers.txt
New Cybersecurity Threat Predictions for 2021, 2020-11-10, FortiGuard Labs, FortiGuard Labs|AI-Driven Security Operations|Cybersecurity Architect, https://www.fortinet.com/blog/threat-research/new-cybersecurity-threat-predictions-for-2021, 5_new-cybersecurity-threat-predictions-for-2021.txt
FortiGuard Labs Discovers Multiple Critical Vulnerabilities in Multiple Adobe Products, 2020-10-21, Peixue Li, Cybersecurity Architect|FortiGuard Labs, https://www.fortinet.com/blog/threat-research/fortiguard-labs-discovers-multiple-critical-vulnerabilities-in-multiple-adobe-products, 6_fortiguard-labs-discovers-multiple-critical-vulnerabilities-in-multiple-adobe-products.txt
Deep Analysis – The EKING Variant of Phobos Ransomware, 2020-10-13, Xiaopeng Zhang, Cybersecurity Architect|FortiGuard Labs, https://www.fortinet.com/blog/threat-research/deep-analysis-the-eking-variant-of-phobos-ransomware, 7_deep-analysis-the-eking-variant-of-phobos-ransomware.txt
FortiGuard Labs Discovers Multiple Critical Vulnerabilities in Adobe InDesign, 2020-09-09, Kexu Wang, Cybersecurity Architect|FortiGuard Labs, https://www.fortinet.com/blog/threat-research/fortiguard-labs-discovers-multiple-critical-vulnerabilities-in-adobe-indesign, 8_fortiguard-labs-discovers-multiple-critical-vulnerabilities-in-adobe-indesign.txt
Joint Technical Alert - “FASTCash 2.0: North Korea's BeagleBoyz Robbing Banks”, 2020-08-27, Val Saengphaibul, Cybersecurity Architect|FortiGuard Labs, https://www.fortinet.com/blog/threat-research/joint-technical-alert-fastcash-2-0-north-koreas-beagleboyz-robbing-banks, 9_joint-technical-alert-fastcash-2-0-north-koreas-beagleboyz-robbing-banks.txt
Hundreds of URLs Inside Microsoft Excel Spreads New Dridex Trojan Variant, 2020-08-19, Xiaopeng Zhang, Cybersecurity Architect|FortiGuard Labs, https://www.fortinet.com/blog/threat-research/hundreds-of-urls-inside-microsoft-excel-spreads-new-dridex-trojan-variant, 10_hundreds-of-urls-inside-microsoft-excel-spreads-new-dridex-trojan-variant.txt
Cyber Adversaries Are Exploiting the Global Pandemic at Enormous Scale, 2020-08-12, Derek Manky, FortiGuard Labs|AI-Driven Security Operations|Cybersecurity Architect, https://www.fortinet.com/blog/threat-research/fortiguard-labs-global-threat-landscape-report-2020-key-insights, 11_fortiguard-labs-global-threat-landscape-report-2020-key-insights.txt
Latest COVID-19 Variants from the Ridiculous to the Malicious, 2020-08-10, Val Saengphaibul, Cybersecurity Architect|FortiGuard Labs, https://www.fortinet.com/blog/threat-research/latest-covid-19-variants-from-the-ridiculous-to-the-malicious, 12_latest-covid-19-variants-from-the-ridiculous-to-the-malicious.txt
Tutorial of ARM Stack Overflow Exploit against SETUID Root Program, 2020-07-31, Kai Lu, Cybersecurity Architect|FortiGuard Labs, https://www.fortinet.com/blog/threat-research/tutorial-arm-stack-overflow-exploit-against-setuid-root-program, 13_tutorial-arm-stack-overflow-exploit-against-setuid-root-program.txt
